codigo_oc,nombre_oc,fecha_creacion,tipo,codigo_licitacion,estado,organismo_codigo,organismo_nombre,organismo_rut,comuna,region,proveedor_codigo,proveedor_nombre,proveedor_rut,proveedor_comuna,proveedor_region,item_correlativo,codigo_categoria,categoria,codigo_producto,catalogo_id,producto,especificacion_comprador,cantidad,unidad,moneda,precio_neto_unitario,total_linea_derivado,total_item_reportado
1057417-412-SE20,,2020-11-05T19:26:53Z,direct,,,,Complejo Asistencial Dr. Victor Ríos Ruíz | Bienes y Servicios,61607301K,,Región del Biobío ,,SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK) | SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK),89842300K,,Región del Biobío ,,,,,,"IG msp TD RESOL. 235, Compra Insumos de aseo, Pedidos 2,3,4 y5",Paños de limpieza501-0102	JABON TOCADOR BARRA,148.0,EA,CLP,633.0,,
1057417-412-SE20,,2020-11-05T19:26:53Z,direct,,,,Complejo Asistencial Dr. Victor Ríos Ruíz | Bienes y Servicios,61607301K,,Región del Biobío ,,SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK) | SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK),89842300K,,Región del Biobío ,,,,,,"IG msp TD RESOL. 235, Compra Insumos de aseo, Pedidos 2,3,4 y5",Paños de limpieza absorbente501-0053	PAÑOS ABSORBENTES X 3 UD.,236.0,000,CLP,1161.0,,
1057417-412-SE20,,2020-11-05T19:26:53Z,direct,,,,Complejo Asistencial Dr. Victor Ríos Ruíz | Bienes y Servicios,61607301K,,Región del Biobío ,,SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK) | SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK),89842300K,,Región del Biobío ,,,,,,"IG msp TD RESOL. 235, Compra Insumos de aseo, Pedidos 2,3,4 y5",Paños de limpieza absorbente503-0165	PAÑAL DESECHABLE CHICO 24 UD.,576.0,EA,CLP,129.0,,
1057417-412-SE20,,2020-11-05T19:26:53Z,direct,,,,Complejo Asistencial Dr. Victor Ríos Ruíz | Bienes y Servicios,61607301K,,Región del Biobío ,,SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK) | SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK),89842300K,,Región del Biobío ,,,,,,"IG msp TD RESOL. 235, Compra Insumos de aseo, Pedidos 2,3,4 y5",Mopas húmedas503-0112	TRAPEROS,56.0,EA,CLP,585.0,,
1057417-412-SE20,,2020-11-05T19:26:53Z,direct,,,,Complejo Asistencial Dr. Victor Ríos Ruíz | Bienes y Servicios,61607301K,,Región del Biobío ,,SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK) | SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK),89842300K,,Región del Biobío ,,,,,,"IG msp TD RESOL. 235, Compra Insumos de aseo, Pedidos 2,3,4 y5","Limpiadores de uso general501-0066	GUANTES INDUSTRIALES LARGOS
",22.0,PR,CLP,635.0,,
1057417-412-SE20,,2020-11-05T19:26:53Z,direct,,,,Complejo Asistencial Dr. Victor Ríos Ruíz | Bienes y Servicios,61607301K,,Región del Biobío ,,SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK) | SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK),89842300K,,Región del Biobío ,,,,,,"IG msp TD RESOL. 235, Compra Insumos de aseo, Pedidos 2,3,4 y5",Limpiadores de uso general501-0012 DETERGEM X 5 LTS.,10.0,LTR,CLP,27000.0,,
1057417-412-SE20,,2020-11-05T19:26:53Z,direct,,,,Complejo Asistencial Dr. Victor Ríos Ruíz | Bienes y Servicios,61607301K,,Región del Biobío ,,SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK) | SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK),89842300K,,Región del Biobío ,,,,,,"IG msp TD RESOL. 235, Compra Insumos de aseo, Pedidos 2,3,4 y5","Limpiadores de uso general501-0017	DETER.DIVERM. D-1 (SUMA STAT PLUS)
",34.0,EA,CLP,19672.0,,
1057417-412-SE20,,2020-11-05T19:26:53Z,direct,,,,Complejo Asistencial Dr. Victor Ríos Ruíz | Bienes y Servicios,61607301K,,Región del Biobío ,,SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK) | SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK),89842300K,,Región del Biobío ,,,,,,"IG msp TD RESOL. 235, Compra Insumos de aseo, Pedidos 2,3,4 y5","Productos para lavar platos501-0016	SUMAGRILL 2 LTS.
",20.0,LTR,CLP,7242.0,,
1057417-412-SE20,,2020-11-05T19:26:53Z,direct,,,,Complejo Asistencial Dr. Victor Ríos Ruíz | Bienes y Servicios,61607301K,,Región del Biobío ,,SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK) | SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK),89842300K,,Región del Biobío ,,,,,,"IG msp TD RESOL. 235, Compra Insumos de aseo, Pedidos 2,3,4 y5",Overol y sobretodo para hombre501-0344	BUZO BLANCO DE POLIPROPILENO TALLA L,40.0,EA,CLP,3148.0,,
1057417-412-SE20,,2020-11-05T19:26:53Z,direct,,,,Complejo Asistencial Dr. Victor Ríos Ruíz | Bienes y Servicios,61607301K,,Región del Biobío ,,SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK) | SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK),89842300K,,Región del Biobío ,,,,,,"IG msp TD RESOL. 235, Compra Insumos de aseo, Pedidos 2,3,4 y5",Overol y sobretodo para hombre501-0343	BUZO BLANCO DE POLIPROPILENO TALLA M,15.0,EA,CLP,3148.0,,
1057417-412-SE20,,2020-11-05T19:26:53Z,direct,,,,Complejo Asistencial Dr. Victor Ríos Ruíz | Bienes y Servicios,61607301K,,Región del Biobío ,,SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK) | SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK),89842300K,,Región del Biobío ,,,,,,"IG msp TD RESOL. 235, Compra Insumos de aseo, Pedidos 2,3,4 y5",Overol y sobretodo para hombre501-0342	BUZO BLANCO DE POLIPROPILENO TALLA S,19.0,EA,CLP,3148.0,,
1057417-412-SE20,,2020-11-05T19:26:53Z,direct,,,,Complejo Asistencial Dr. Victor Ríos Ruíz | Bienes y Servicios,61607301K,,Región del Biobío ,,SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK) | SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK),89842300K,,Región del Biobío ,,,,,,"IG msp TD RESOL. 235, Compra Insumos de aseo, Pedidos 2,3,4 y5",Overol y sobretodo para hombre501-0345	BUZO BLANCO DE POLIPROPILENO TALLA XL,114.0,EA,CLP,3148.0,,
1057417-412-SE20,,2020-11-05T19:26:53Z,direct,,,,Complejo Asistencial Dr. Victor Ríos Ruíz | Bienes y Servicios,61607301K,,Región del Biobío ,,SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK) | SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK),89842300K,,Región del Biobío ,,,,,,"IG msp TD RESOL. 235, Compra Insumos de aseo, Pedidos 2,3,4 y5",Pañales para bebé503-0211	PAÑAL DESECHABLE ADULTO LISO 8 UD.,12424.0,EA,CLP,334.0,,
1057417-412-SE20,,2020-11-05T19:26:53Z,direct,,,,Complejo Asistencial Dr. Victor Ríos Ruíz | Bienes y Servicios,61607301K,,Región del Biobío ,,SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK) | SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK),89842300K,,Región del Biobío ,,,,,,"IG msp TD RESOL. 235, Compra Insumos de aseo, Pedidos 2,3,4 y5",Pañales para adultos501-0319	PANOS ABSORBENTE WIPAL X70 JUMBO ROLLO 870,30.0,EA,CLP,30354.0,,
1057417-412-SE20,,2020-11-05T19:26:53Z,direct,,,,Complejo Asistencial Dr. Victor Ríos Ruíz | Bienes y Servicios,61607301K,,Región del Biobío ,,SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK) | SOLUCIONES INTEGRALES DE LIMPIEZA LTDA. (BIENEK),89842300K,,Región del Biobío ,,,,,,"IG msp TD RESOL. 235, Compra Insumos de aseo, Pedidos 2,3,4 y5","Jabones501-0191	JABÓN DE CARA BARRA
",6.0,EA,CLP,633.0,,
1057417-429-SE20,,2020-11-05T19:26:53Z,direct,,,,Complejo Asistencial Dr. Victor Ríos Ruíz | Bienes y Servicios,61607301K,,Región del Biobío ,,Importadora y Exportadora CAMIR Limitada | Importadora y Exportadora CAMIR Limitada,774879609,,Región de Valparaíso ,,,,,,IC fcsm LP oic Consignacion Intervenciones Hemodin,"Dispositivos o tubos de compresión vascular secuen306-2095 Guía De  Angioplastia Con Cubierta Hidrofilica De
Alto Soporte, Doble Malla De 0.5gr En La Punta, De 180cm De
Largo

Pcte./Lote
Fermin O.M.	190831a191
",1.0,000,CLP,85000.0,,
1057439-147-SE20,,2020-11-05T19:26:11Z,direct,,,,Hospital La Serena | Bienes y Servicios,616064029,,Región de Coquimbo ,,JOHNSON Y JOHNSON DE CHILE S A | 2 Janssen-Cilag Chile,937450001,,Región Metropolitana de Santiago,,,,,,INS-3223/MALLA POLIDIOXANONA + CELULOSA Y POLIPROP,"Productos quirúrgicos de barrera de tisú o de mallINS-3223	MALLA POLIDIOXANONA + CELULOSA Y POLIPROPILENO 20*30 CM RECTANGULAR (PROCEED)
",3.0,EA,CLP,550000.0,,
1057439-236-SE20,,2020-11-05T19:26:52Z,direct,,,,Hospital La Serena | Bienes y Servicios,616064029,,Región de Coquimbo ,,F&F Clima SpA | Jorge Osvaldo,762364980,,Región de Coquimbo ,,,,,,MANTENIMIENTO CORRECTIVO VITRINA CONGELADORA,"Instalación, reparación o mantenimiento de sistemaMANTENIMIENTO CORRECTIVO DE VITRINA CONGELADORA MARCA MAIGAS, SEGÚN PRESUPUESTO",1.0,EA,CLP,293249.0,,
1057440-258-SE20,,2020-11-05T19:26:12Z,direct,,,,SERVICIO DE SALUD COQUIMBO HOSPITAL DE COQUIMBO | Bienes y Servicios,616064037,,Región de Coquimbo ,,SERVICIOS OSTEOMED SPA | Alberto Eduardo,767224117,,Región de Coquimbo ,,,,,,SERVICIO INTERVENCIÓN QUIRÚRGICA NOVIEMBRE 2019,"Servicios quirúrgicosCONTRATO DE
SERVICIOS
QUIRÚRGICOS
TRAUMATOLÓGICOS
DE CADERA.",11.0,000,CLP,1300000.0,,
1057440-268-SE20,,2020-11-05T19:26:12Z,direct,,,,SERVICIO DE SALUD COQUIMBO HOSPITAL DE COQUIMBO | Bienes y Servicios,616064037,,Región de Coquimbo ,,Productos Médicos Promedon Chile S.A. | Productos Médicos Promedon Chile S.A.,785662504,,Región Metropolitana de Santiago,,,,,,AINSUMOS PARA ASPIRADOR ULTRASONICO ,Puntas de torno o pulidor dentalKIT DE ASPIRACIÓN E IRRIGACION HEPÁTICA ,5.0,EA,CLP,208425.0,,
1057440-268-SE20,,2020-11-05T19:26:12Z,direct,,,,SERVICIO DE SALUD COQUIMBO HOSPITAL DE COQUIMBO | Bienes y Servicios,616064037,,Región de Coquimbo ,,Productos Médicos Promedon Chile S.A. | Productos Médicos Promedon Chile S.A.,785662504,,Región Metropolitana de Santiago,,,,,,AINSUMOS PARA ASPIRADOR ULTRASONICO ,Puntas y ganchos quirúrgicosKIT DE ASPIRACION E IRRIGACION NEURO ,5.0,EA,CLP,208425.0,,
1057440-268-SE20,,2020-11-05T19:26:12Z,direct,,,,SERVICIO DE SALUD COQUIMBO HOSPITAL DE COQUIMBO | Bienes y Servicios,616064037,,Región de Coquimbo ,,Productos Médicos Promedon Chile S.A. | Productos Médicos Promedon Chile S.A.,785662504,,Región Metropolitana de Santiago,,,,,,AINSUMOS PARA ASPIRADOR ULTRASONICO ,Puntas y ganchos quirúrgicosLLAVE PARA AJUSTE DE PIEZA DE 23KHZ,5.0,EA,CLP,103215.0,,
1057440-268-SE20,,2020-11-05T19:26:12Z,direct,,,,SERVICIO DE SALUD COQUIMBO HOSPITAL DE COQUIMBO | Bienes y Servicios,616064037,,Región de Coquimbo ,,Productos Médicos Promedon Chile S.A. | Productos Médicos Promedon Chile S.A.,785662504,,Región Metropolitana de Santiago,,,,,,AINSUMOS PARA ASPIRADOR ULTRASONICO ,Puntas y ganchos quirúrgicosPUNTA PARA CIRUGIA NEURO ,5.0,EA,CLP,475860.0,,
1057440-268-SE20,,2020-11-05T19:26:12Z,direct,,,,SERVICIO DE SALUD COQUIMBO HOSPITAL DE COQUIMBO | Bienes y Servicios,616064037,,Región de Coquimbo ,,Productos Médicos Promedon Chile S.A. | Productos Médicos Promedon Chile S.A.,785662504,,Región Metropolitana de Santiago,,,,,,AINSUMOS PARA ASPIRADOR ULTRASONICO ,Puntas y ganchos quirúrgicosLLAVE PARA AJUSTE DE PIEZA DE 36KHZ,5.0,EA,CLP,103215.0,,
1057440-268-SE20,,2020-11-05T19:26:12Z,direct,,,,SERVICIO DE SALUD COQUIMBO HOSPITAL DE COQUIMBO | Bienes y Servicios,616064037,,Región de Coquimbo ,,Productos Médicos Promedon Chile S.A. | Productos Médicos Promedon Chile S.A.,785662504,,Región Metropolitana de Santiago,,,,,,AINSUMOS PARA ASPIRADOR ULTRASONICO ,Puntas y ganchos quirúrgicosFILTRO PARA EQUIPO CUSA ,5.0,EA,CLP,104770.0,,
1057440-268-SE20,,2020-11-05T19:26:12Z,direct,,,,SERVICIO DE SALUD COQUIMBO HOSPITAL DE COQUIMBO | Bienes y Servicios,616064037,,Región de Coquimbo ,,Productos Médicos Promedon Chile S.A. | Productos Médicos Promedon Chile S.A.,785662504,,Región Metropolitana de Santiago,,,,,,AINSUMOS PARA ASPIRADOR ULTRASONICO ,Puntas y ganchos quirúrgicosPUNTA PARA CIRUGIA NEURO ,5.0,EA,CLP,475860.0,,
1057440-401-SE20,,2020-11-05T19:26:53Z,direct,,,,SERVICIO DE SALUD COQUIMBO HOSPITAL DE COQUIMBO | Bienes y Servicios,616064037,,Región de Coquimbo ,,INDURA S.A | INDURA MEDICA,76150343K,,Región Metropolitana de Santiago,,,,,,arriendo oxigeno medico noviembre 2019,Accesorios para productos de administración de oxiarriendo oxycalm 50% n20 y #x2013;50% 02 12kg,358.0,000,CLP,60.0,,
1057440-401-SE20,,2020-11-05T19:26:53Z,direct,,,,SERVICIO DE SALUD COQUIMBO HOSPITAL DE COQUIMBO | Bienes y Servicios,616064037,,Región de Coquimbo ,,INDURA S.A | INDURA MEDICA,76150343K,,Región Metropolitana de Santiago,,,,,,arriendo oxigeno medico noviembre 2019,"Accesorios para productos de administración de oxi(12-L) Arriendo aire comprimido 8.5 m3 (CL. 2.2 NU 1002)
",462.0,000,CLP,60.0,,
1057440-401-SE20,,2020-11-05T19:26:53Z,direct,,,,SERVICIO DE SALUD COQUIMBO HOSPITAL DE COQUIMBO | Bienes y Servicios,616064037,,Región de Coquimbo ,,INDURA S.A | INDURA MEDICA,76150343K,,Región Metropolitana de Santiago,,,,,,arriendo oxigeno medico noviembre 2019,Accesorios para productos de administración de oxi(15-MED)Arriendo Cil. Acetileno mediano  (CL. 2.1 NU 1001),145.0,000,CLP,60.0,,
1057440-401-SE20,,2020-11-05T19:26:53Z,direct,,,,SERVICIO DE SALUD COQUIMBO HOSPITAL DE COQUIMBO | Bienes y Servicios,616064037,,Región de Coquimbo ,,INDURA S.A | INDURA MEDICA,76150343K,,Región Metropolitana de Santiago,,,,,,arriendo oxigeno medico noviembre 2019,"Accesorios para productos de administración de oxi(24-A) Arriendo Argon gaseoso 2 m3  (CL. 2.2 NU 1006)
",29.0,000,CLP,60.0,,
1057440-401-SE20,,2020-11-05T19:26:53Z,direct,,,,SERVICIO DE SALUD COQUIMBO HOSPITAL DE COQUIMBO | Bienes y Servicios,616064037,,Región de Coquimbo ,,INDURA S.A | INDURA MEDICA,76150343K,,Región Metropolitana de Santiago,,,,,,arriendo oxigeno medico noviembre 2019,Accesorios para productos de administración de oxi(37-LJ) Arriendo CO2 G. Alimento 32 kg (CL. 2.2 NU 1013),87.0,000,CLP,60.0,,
1057440-401-SE20,,2020-11-05T19:26:53Z,direct,,,,SERVICIO DE SALUD COQUIMBO HOSPITAL DE COQUIMBO | Bienes y Servicios,616064037,,Región de Coquimbo ,,INDURA S.A | INDURA MEDICA,76150343K,,Región Metropolitana de Santiago,,,,,,arriendo oxigeno medico noviembre 2019,Accesorios para productos de administración de oxi(37-LW) Arriendo CO2 G. Alimento 35 kg (CL. 2.2 NU 1013)13),116.0,000,CLP,60.0,,
1057440-401-SE20,,2020-11-05T19:26:53Z,direct,,,,SERVICIO DE SALUD COQUIMBO HOSPITAL DE COQUIMBO | Bienes y Servicios,616064037,,Región de Coquimbo ,,INDURA S.A | INDURA MEDICA,76150343K,,Región Metropolitana de Santiago,,,,,,arriendo oxigeno medico noviembre 2019,Accesorios para productos de administración de oxiArriendo Ahidrido carb 27 kg (CL. 2.2 NU 1013),116.0,000,CLP,60.0,,
1057440-401-SE20,,2020-11-05T19:26:53Z,direct,,,,SERVICIO DE SALUD COQUIMBO HOSPITAL DE COQUIMBO | Bienes y Servicios,616064037,,Región de Coquimbo ,,INDURA S.A | INDURA MEDICA,76150343K,,Región Metropolitana de Santiago,,,,,,arriendo oxigeno medico noviembre 2019,Accesorios para productos de administración de oxiArriendo Ahidrido carb 29 kg (CL. 2.2 NU 1013),58.0,000,CLP,60.0,,
1057440-401-SE20,,2020-11-05T19:26:53Z,direct,,,,SERVICIO DE SALUD COQUIMBO HOSPITAL DE COQUIMBO | Bienes y Servicios,616064037,,Región de Coquimbo ,,INDURA S.A | INDURA MEDICA,76150343K,,Región Metropolitana de Santiago,,,,,,arriendo oxigeno medico noviembre 2019,Accesorios para productos de administración de oxiArriendo oxigeno medico 0.7 m3 (cl.2.2 nu 1072),87.0,000,CLP,60.0,,
1057440-401-SE20,,2020-11-05T19:26:53Z,direct,,,,SERVICIO DE SALUD COQUIMBO HOSPITAL DE COQUIMBO | Bienes y Servicios,616064037,,Región de Coquimbo ,,INDURA S.A | INDURA MEDICA,76150343K,,Región Metropolitana de Santiago,,,,,,arriendo oxigeno medico noviembre 2019,"Accesorios para productos de administración de oxi(101-H)Arriendo Oxigeno medico 10 m3 (CL. 2.2 NU 1072)
",296.0,000,CLP,60.0,,
1057440-401-SE20,,2020-11-05T19:26:53Z,direct,,,,SERVICIO DE SALUD COQUIMBO HOSPITAL DE COQUIMBO | Bienes y Servicios,616064037,,Región de Coquimbo ,,INDURA S.A | INDURA MEDICA,76150343K,,Región Metropolitana de Santiago,,,,,,arriendo oxigeno medico noviembre 2019,"Accesorios para productos de administración de oxi(146-LW)Arriendo Oxido nitroso medicinal 35 kg 
",315.0,000,CLP,60.0,,
1057440-401-SE20,,2020-11-05T19:26:53Z,direct,,,,SERVICIO DE SALUD COQUIMBO HOSPITAL DE COQUIMBO | Bienes y Servicios,616064037,,Región de Coquimbo ,,INDURA S.A | INDURA MEDICA,76150343K,,Región Metropolitana de Santiago,,,,,,arriendo oxigeno medico noviembre 2019,Accesorios para productos de administración de oxiarrendo oxido nitroso 35 kg,87.0,000,CLP,60.0,,
1057441-392-SE20,,2020-11-05T19:26:53Z,direct,,,,SERVICIO DE SALUD COQUIMBO HOSPITAL DE O | Bienes y Servicios,616064045,,Región de Coquimbo ,,UC CHRISTUS SALUD SpA | UC CHRISTUS SERVICIOS CLINICOS SpA,995734907,,Región Metropolitana de Santiago,,,,,,exámenes médicos,"Exámenes médicosPCR Inestabilidad microsatelital
paciente Maribel Vega Acuña Run: 13.536577-7  ",1.0,EA,CLP,240000.0,,
1057461-57-SE20,,2020-11-05T19:26:12Z,direct,,,,Hospital Cauquenes | Bienes y Servicios,616069136,,Región del Maule ,,camila paz | camila paz,651185033,,Región Metropolitana de Santiago,,,,,,BE / RESIDENCIA PROTEGIDA MES DE NOVIEMBRE 2019,"Servicios de asistencia puertas adentroCOMPRA DE SERVICIOS CUPO RESIDENCIA PROTEGIDA SEGUN RESOLUCION 041 DEL 09/01/2020, CORRESPONDIENTE AL MES DE NOVIEMBRE DEL 2019.",30.0,000,CLP,18760.0,,
1057491-252-SE20,,2020-11-05T19:26:11Z,direct,,,,Hospital Doctor Luis Calvo Mackenna | Bienes y Servicios,616084089,,Región Metropolitana de Santiago,,DISTRIBUIDORA DE ARTICULOS MEDICOS PEREZ SPA | DIST. ARTICULOS MEDICOS PÉREZ SPA,897528002,,Región Metropolitana de Santiago,,,,,,DSH/PROGRAMA/ECONOMATO/ENERO 2020,"Tiras para pruebas de desinfectante702-0165 SOBRE PAPEL 1/2 KILO /SOBRE/PAQUETE X 1000 SOBRES
",6000.0,000,CLP,6.0,,
1057500-96-SE20,,2020-11-05T19:26:52Z,direct,,,,Servicio de Salud Metropolitano Sur Oriente | Bienes y Servicios,61608500K,,Región Metropolitana de Santiago,,MUNICIPALIDAD DE PUENTE ALTO | MUNICIPALIDAD DE PUENTE ALTO,690721007,,Región Metropolitana de Santiago,,,,,,CONVENIO PROBLEMAS DERIVADOS CONSUMO DROGAS,"Servicios de rehabilitación de drogas o abuso de sPUENTE ALTO $ 1.213.500
CONVENIO PROBLEMAS DERIVADOS CONSUMO DROGAS
RES.5246/27-12-2019
ADENDUM CONVENIO 2019",12.0,000,CLP,101125.0,,
1057501-726-MC20,,2020-11-05T19:26:53Z,direct,,,,COMPLEJO ASISTENCIAL DR. SOTERO DEL RIO | Bienes y Servicios,616085026,,Región Metropolitana de Santiago,,QuoRux Chile SPA | QuoRux Chile SPA,761311425,,Región Metropolitana de Santiago,,,,,,TRATO DIRECTO 2020,Reactivos o soluciones químicos50-244-100-006-00 AGAR SALMONELLA SHIGELLA FC 500GR,2.0,000,CLP,61000.0,,
